file,rand_score,ami_score,consistency_score
20th_Century_Fox.pkl,0.5165644111110266,0.5269403176735972,0.7531172069825436
Hollywood_Nights.pkl,0.5432228826476758,0.571203520911113,0.75279348875707
Il_battito_animale.1.pkl,0.8036177135888679,0.5687230940742775,0.7520398285161112
Il_ragazzo_della_via_Gluck.pkl,0.416063471362737,0.44254544475558233,0.7492266902342024
Sweet_Harmony.1.pkl,0.7164844632211052,0.6432254934722197,0.748004445791654
Hop-O-My-Thumb.pkl,0.12091023996021077,0.16916127326372257,0.7451381780962129
Walking_On_Broken_Glass.pkl,0.8283642286519094,0.6380927245897021,0.7433160845191893
Sure.pkl,0.7361075784485115,0.6091359898270552,0.7412812268117734
No_Frontiers.pkl,0.574002932073749,0.47710792914243794,0.740571902196436
Nobody_Home.1.pkl,0.22932396570288224,0.10002518747934078,0.7405660377358491
Walking_in_My_Shoes.pkl,0.7367445159401378,0.5999668126010339,0.740329035126723
No_Reply.pkl,0.4239862927500461,0.4272223988846718,0.74
Not_Counting_You.pkl,0.22865445384802086,0.3574539329966631,0.7394935344827587
"40,000_Headmen.pkl",0.5802708216519643,0.47378473849871633,0.7391084093211753
Youre_the_Inspiration.pkl,0.5940055025184682,0.44768046534207967,0.737990465713238
We_Can_Work_It_Out.1.pkl,0.4815833421176933,0.47870887829407843,0.7379032258064516
We_Can_Work_It_Out.2.pkl,0.4815833421176933,0.47870887829407843,0.7379032258064516
We_Can_Work_It_Out.pkl,0.4815833421176933,0.47870887829407843,0.7379032258064516
No_Memory.pkl,-0.01139280767178229,0.06723923160728003,0.7373134328358208
Non_mi_arrendo.1.pkl,0.6486207273431133,0.5799741993300781,0.7372881355932204
Non_mi_arrendo.pkl,0.6486207273431133,0.5799741993300781,0.7372881355932204
2112.pkl,0.4209923305416756,0.4468261253987435,0.7357766712921394
Sweet_Dreams_Hell_Outro.2.pkl,0.5501627624807993,0.4829085614458891,0.7354696132596685
Non_abbiam_bisogno_di_parole.pkl,0.6233826600568536,0.4529742648479616,0.7350672250385717
Holding_Out_for_a_Hero.pkl,0.6807071071457109,0.5528536645743332,0.7349120588573399
Sunday_Girl.pkl,0.4201948853412807,0.46366534292785544,0.7345832392139147
Baila_Me.1.pkl,0.7332543327561413,0.5612632184436497,0.7336734693877551
Wanted.pkl,0.4445463855872071,0.5078996401961619,0.7310594627226079
No_More_I_Cant_Stand_It_.pkl,0.7277563942543119,0.6498258857981,0.7294049008168028
Supermarket.pkl,0.11354964657573832,0.27599418660803854,0.7286809326093899
Il_viaggiatore.pkl,0.7171769892326768,0.5405740979183432,0.7281453548165924
Sunday_Bloody_Sunday.1.pkl,0.41607276242290303,0.3616135372568221,0.7271278714646129
Hocus_Pocus.1.pkl,0.47527894959216277,0.48282315441194845,0.7269061583577713
If_You_Needed_Somebody.1.pkl,0.5213724476316284,0.4978627602364866,0.7265011002829299
If_You_Needed_Somebody.pkl,0.5213724476316284,0.4978627602364866,0.7265011002829299
Summer_on_a_Solitary_Beach.pkl,0.42999392709824963,0.4341918229764902,0.725520431765613
Ill_Be_Missing_You.1.pkl,0.33709759715991816,0.408600754479129,0.7246104245029554
If_You_Love_Me.pkl,0.5633262365022061,0.5121203208145068,0.7241122423640427
Ill_Be_Missing_You.pkl,0.3386013585288244,0.41576437650520637,0.7235357334766255
Honky_Tonk.pkl,0.3115231815118414,0.49034232004751754,0.7227101631116688
Super_Gut.pkl,0.6394892564242649,0.7508307235610604,0.7222140869819885
Nobodys_Child.pkl,0.5807141654283471,0.46637954588911595,0.7218962684815771
Walking_on_the_Moon.1.pkl,0.6498281578800932,0.6017797487338313,0.7218579234972677
Walking_on_The_Moon.4.pkl,0.6498281578800932,0.6017797487338313,0.7218579234972677
Waltzing_Back.pkl,0.40689642212220806,0.4771391218921456,0.7217487958503149
Walking_on_The_Moon.3.pkl,0.6464334995976396,0.5983132933783013,0.7204595185995624
4_marzo_1943.pkl,0.20763128934235708,0.36550865238047137,0.7198651306546783
Susanna.1.pkl,0.5626696958489754,0.5276028446011967,0.7186865267433988
Non_abbassare_gli_occhi.pkl,0.6648114101123334,0.4603845785142997,0.718400293524124
Youve_Got_a_Friend.pkl,0.4525930549576969,0.37595584350744443,0.7179561200923787
Ignition.pkl,0.42063349082583806,0.5408330586348226,0.7160493827160493
1999.6.pkl,0.5082324963232147,0.47923073385816356,0.7158779820101682
Wat_ben_je_Lelijk_van_dichtbij.pkl,0.5201297318573774,0.5284425607345133,0.7145631067961165
1999.3.pkl,0.49863328807754775,0.4774367670696394,0.7143705463182898
Holly_Holy.pkl,0.3175865247737341,0.42558252289357074,0.7129067413981006
Il_suffit_de_passer_le_pont.pkl,0.3586404318023468,0.5110802605279002,0.7128712871287128
Il_monolocale.pkl,0.46914356361864623,0.524918095056955,0.712314591238358
Bakerstreet.pkl,0.4115677220673163,0.37892491482043145,0.7115648331555691
Il_vento_del_nord.1.pkl,0.3069370588476307,0.473255189582099,0.7106487464461101
Il_vento_del_nord.2.pkl,0.3069370588476307,0.473255189582099,0.7106487464461101
Il_vento_del_nord.pkl,0.31516622434529384,0.48870249451993136,0.7101108169069335
Surfin_USA.1.pkl,0.43273569534482964,0.47466082857762626,0.7093605546995377
Surfin_USA.3.pkl,0.43273569534482964,0.47466082857762626,0.7093605546995377
Surfin_USA.4.pkl,0.43273569534482964,0.47466082857762626,0.7093605546995377
Super_Trouper.pkl,0.6296674327624326,0.5149358246946797,0.7061579651941098
No_Scrubs.1.pkl,0.4710694492081867,0.46314202436748136,0.7050691244239631
Warum_immer_ich.1.pkl,0.6116889573607327,0.6094381683081255,0.7047303404639952
We_Dont_Need_Another_Hero_Thunderdome_.1.pkl,0.6697341715515787,0.5623156306341426,0.7042200452147701
Honky_Tonk_Woman.pkl,0.46761546932613834,0.41972619537792527,0.7025849549811212
No_Myth.pkl,0.4525806275822808,0.41262891885774056,0.7012944983818771
If_There_Was_Any_Other_Way.1.pkl,0.6632688687792139,0.5941342732719828,0.7005584440593106
If_There_Was_Any_Other_Way.pkl,0.6632688687792139,0.5941342732719828,0.7005584440593106
No_Tell_Lover.1.pkl,0.5184860115827808,0.4525063773302842,0.6997840172786177
No_Tell_Lover.pkl,0.5184860115827808,0.4525063773302842,0.6997840172786177
No_More_I_Love_Yous.1.pkl,0.6090819238167826,0.5979631984006643,0.6994988014818043
Homely_Girl.1.pkl,0.6319969919133147,0.5809705391083118,0.6985124980831161
Hole_In_Your_Soul.pkl,0.6121518189257101,0.6071498760019675,0.6985114000376861
Youve_Got_to_Hide_Your_Love_Away.1.pkl,-0.0022833389067546607,0.18733942846012377,0.6980065456709312
Nobody_Knows.pkl,0.5138134800925052,0.407350960880376,0.697566628041715
If_I_Ruled_the_World.pkl,0.42588247169249516,0.4608104849211292,0.6973370429252782
Honey_Dont.1.pkl,0.3888295345981174,0.4193519904797568,0.6973351198451689
Honey_Dont.pkl,0.3888295345981174,0.4193519904797568,0.6973351198451689
Il_mattino_dopo.pkl,0.22208043307255235,0.42654734611487327,0.6969089390142021
Not_Sorry.pkl,0.42324312751221344,0.4378741267026063,0.6963048498845266
Zombie.2.pkl,0.27001689467814843,0.4138929654042363,0.6956869009584664
Wanna_Be_Startin_Somethin.pkl,0.592704704616478,0.5425112628315267,0.6956638354939652
Not_This_Time.pkl,0.5132892682112544,0.5079625859174132,0.6946080652469415
Holiday.1.pkl,0.5665201278228885,0.4723125417740895,0.6933701657458563
Youre_No_Good.pkl,0.5884345319255052,0.5838212973467776,0.6918751757098679
Sunday_Bloody_Sunday.pkl,0.46816186509599494,0.44490065384578537,0.6915030576118443
Wanna_Be_Starting_Something.pkl,0.6210638357726991,0.6460766082434489,0.6893382352941176
No_dottore.pkl,0.21542449887275208,0.30300349986877345,0.689209726443769
Ik_wil_altijd_bij_je_zijn_feat._Koos_Alberts_.pkl,0.31549842002121586,0.40170190229652675,0.6876499376259476
Sunshine_Superman.pkl,0.3562131953740797,0.352186154775848,0.6861435726210351
Non_siamo_in_pericolo.2.pkl,0.6068588618177948,0.5284983274505416,0.6855578811785542
Non_siamo_in_pericolo.pkl,0.6068588618177948,0.5284983274505416,0.6855578811785542
"Youre_The_First,_The_Last,_My_Everything.pkl",0.4754672982565644,0.5001677394501051,0.6853844648796713
Non_e.pkl,0.6212479699229893,0.5341344886718029,0.6851189550614213
4_Ever_2_Gether.pkl,0.7259573523961854,0.5966265432608489,0.6847781003732891
Nord_Sud_Ovest_Est.4.pkl,0.4942762581418054,0.45958543309359956,0.6846636771300448
If_I_Only_Had_the_Words_To_Tell_You_.pkl,0.36421050123408555,0.4925895897575339,0.6839378238341969
A_Banda.pkl,0.6111239590409394,0.5406896384646268,0.6822801590808661
Nord_Sud_Ovest_Est.1.pkl,0.490825452586478,0.45676964857670604,0.6811023622047244
We_Dont_Need_Another_Hero_Thunderdome_.pkl,0.6777650842411296,0.4999090683134711,0.6802383316782522
Honey.2.pkl,0.3475550101898588,0.4536531976844393,0.6797264830900018
Non_sei_tu_Si_jamais_.pkl,0.4535273415558201,0.4599554998675843,0.6793028322440087
Il_sopravvento.1.pkl,0.34438662206793375,0.39543886288784813,0.6790302153066763
Il_sopravvento.pkl,0.34438662206793375,0.39543886288784813,0.6790302153066763
